101080101|呼和浩特|呼和浩特
101010100|北京|北京
101010300|朝阳|北京
101010400|顺义|北京
101010500|怀柔|北京
101010600|通州|北京
101010700|昌平|北京
101010800|延庆|北京
101010900|丰台|北京
101011000|石景山|北京
101011100|大兴|北京
101011200|房山|北京
101011300|密云|北京
101011400|门头沟|北京
101011500|平谷|北京
101010200|海淀|北京
101040100|重庆|重庆
101040300|合川|重庆
101040400|南川|重庆
101040500|江津|重庆
101040600|万盛|重庆
101040700|渝北|重庆
101040800|北碚|重庆
101040900|巴南|重庆
101041000|长寿|重庆
101041100|黔江|重庆
101041300|万州|重庆
101041400|涪陵|重庆
101041500|开县|重庆
101041600|城口|重庆
101041700|云阳|重庆
101041800|巫溪|重庆
101041900|奉节|重庆
101042000|巫山|重庆
101042100|潼南|重庆
101042200|垫江|重庆
101042300|梁平|重庆
101042400|忠县|重庆
101042500|石柱|重庆
101042600|大足|重庆
101042700|荣昌|重庆
101042800|铜梁|重庆
101042900|璧山|重庆
101043000|丰都|重庆
101043100|武隆|重庆
101043200|彭水|重庆
101043300|綦江|重庆
101043400|酉阳|重庆
101043600|秀山|重庆
101043700|沙坪坝|重庆
101040200|永川|重庆
101020100|上海|上海
101020300|宝山|上海
101020500|嘉定|上海
101020600|南汇|上海
101021300|浦东|上海
101020800|青浦|上海
101020900|松江|上海
101021000|奉贤|上海
101021100|崇明|上海
101021200|徐家汇|上海
101020200|闵行|上海
101020700|金山|上海
101030100|天津|天津
101030300|宝坻|天津
101030400|东丽|天津
101030500|西青|天津
101030600|北辰|天津
101031400|蓟县|天津
101030800|汉沽|天津
101030900|静海|天津
101031000|津南|天津
101031100|塘沽|天津
101031200|大港|天津
101030200|武清|天津
101030700|宁河|天津
101330101|澳门|澳门
101330102|氹仔岛|澳门
101330103|路环岛|澳门
101320101|香港|香港
101320103|新界|香港
101220101|合肥|合肥
101220103|肥东|合肥
101220104|肥西|合肥
101220102|长丰|合肥
101220201|蚌埠|蚌埠
101220203|固镇|蚌埠
101220204|五河|蚌埠
101220202|怀远|蚌埠
101220301|芜湖|芜湖
101220303|芜湖县|芜湖
101220304|南陵|芜湖
101220302|繁昌|芜湖
101220401|淮南|淮南
101220402|凤台|淮南
101220403|潘集|淮南
101220501|马鞍山|马鞍山
101220502|当涂|马鞍山
101220601|安庆|安庆
101220603|太湖|安庆
101220604|潜山|安庆
101220609|桐城|安庆
101220606|宿松|安庆
101220607|望江|安庆
101220608|岳西|安庆
101220602|枞阳|安庆
101220605|怀宁|安庆
101220701|宿州|宿州
101220705|萧县|宿州
101220704|泗县|宿州
101220702|砀山|宿州
101220703|灵璧|宿州
101220801|阜阳|阜阳
101220806|太和|阜阳
101220804|临泉|阜阳
101220805|界首|阜阳
101220802|阜南|阜阳
101220803|颍上|阜阳
101220901|亳州|亳州
101220903|利辛|亳州
101220904|蒙城|亳州
101220902|涡阳|亳州
101221001|黄山|黄山
101221003|屯溪|黄山
101221008|黄山市|黄山
101221005|黟县|黄山
101221006|歙县|黄山
101221007|休宁|黄山
101221002|黄山区|黄山
101221004|祁门|黄山
101221101|滁州|滁州
101221103|明光|滁州
101221107|天长|滁州
101221105|全椒|滁州
101221106|来安|滁州
101221102|凤阳|滁州
101221104|定远|滁州
101221201|淮北|淮北
